央视,#genre#
湖南国际,http://ip.52kk.vip:4022/udp/239.76.246.102:1234$湖南电信
湖南爱晚,http://ip.52kk.vip:4022/udp/239.76.246.109:1234$湖南电信
湖南教育,http://ip.52kk.vip:4022/udp/239.76.245.233:1234$湖南电信
湖南娱乐,http://ip.52kk.vip:4022/udp/239.76.246.105:1234$湖南电信
快乐垂钓,http://ip.52kk.vip:4022/udp/239.76.246.5:1234$湖南电信
四海钓鱼,http://ip.52kk.vip:4022/udp/239.76.253.4:9000$湖南电信
快乐垂钓,http://ip.52kk.vip:4022/udp/239.76.253.5:9000$湖南电信
四海钓鱼,http://ip.52kk.vip:4022/udp/239.76.246.4:1234$湖南电信
金鹰纪实,http://ip.52kk.vip:4022/udp/239.76.246.110:1234$湖南电信
长沙新闻,http://ip.52kk.vip:4022/udp/239.76.246.121:1234$湖南电信
长沙政法,http://ip.52kk.vip:4022/udp/239.76.246.122:1234$湖南电信
长沙文旅,http://ip.52kk.vip:4022/udp/239.76.255.42:9000$湖南电信
益阳新闻,http://ip.52kk.vip:4022/udp/239.76.255.15:9000$湖南电信
益阳新闻,http://ip.52kk.vip:4022/udp/239.76.248.15:1234$湖南电信

湖南都市,http://4.iycwp.top:7777/php/hn.php?id=hnds
湖南经视,http://4.iycwp.top:7777/php/hn.php?id=hnjs
湖南爱晚,http://4.iycwp.top:7777/php/hn.php?id=hngg
湖南电视剧,http://4.iycwp.top:7777/php/hn.php?id=hndsj
湖南电影,http://4.iycwp.top:7777/php/hn.php?id=hndy
湖南娱乐,http://4.iycwp.top:7777/php/hn.php?id=hnyl
湖南国际,http://4.iycwp.top:7777/php/hn.php?id=hngj
金鹰纪实,http://4.iycwp.top:7777/php/hn.php?id=jyjs
先锋乒羽,http://4.iycwp.top:7777/php/hn.php?id=xfpy
快乐垂钓,http://4.iycwp.top:7777/php/hn.php?id=klcd
茶频道,http://4.iycwp.top:7777/php/hn.php?id=cpd
长沙新闻,http://4.iycwp.top:7777/php/hn.php?id=csxwzh
长沙政法,http://4.iycwp.top:7777/php/hn.php?id=cszfpd
金鹰卡通,http://4.iycwp.top:7777/php/hn.php?id=jykt

湖南经视,http://php.jdshipin.com:8880/iptv.php?id=hnjs
湖南都市,http://php.jdshipin.com:8880/iptv.php?id=hnds
湖南爱晚,http://php.jdshipin.com:8880/iptv.php?id=hngg
湖南电视剧,http://php.jdshipin.com:8880/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com:8880/iptv.php?id=hndy
湖南娱乐,http://php.jdshipin.com:8880/iptv.php?id=hnyl
湖南国际,http://php.jdshipin.com:8880/iptv.php?id=hngj

湖南经视,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnjs
湖南都市,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnds
湖南爱晚,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngg
湖南电视剧,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndsj
湖南电影,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hndy
湖南娱乐,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hnyl
湖南国际,http://php.jdshipin.com:8880/TVOD/iptv.php?id=hngj

卫视,#genre#
湖南卫视,http://192.168.200.1:8888/udp/239.76.253.101:9000
北京卫视,http://192.168.200.1:8888/udp/239.76.253.184:9000
东方卫视,http://192.168.200.1:8888/udp/239.76.253.186:9000
江苏卫视,http://192.168.200.1:8888/udp/239.76.253.181:9000
浙江卫视,http://192.168.200.1:8888/udp/239.76.253.182:9000
安徽卫视,http://192.168.200.1:8888/udp/239.76.252.196:9000
黑龙江卫视,http://192.168.200.1:8888/udp/239.76.253.200:9000
天津卫视,http://192.168.200.1:8888/udp/239.76.253.185:9000
江西卫视,http://192.168.200.1:8888/udp/239.76.252.225:9000
深圳卫视,http://192.168.200.1:8888/udp/239.76.253.188:9000
辽宁卫视,http://192.168.200.1:8888/udp/239.76.252.197:9000
东南卫视,http://192.168.200.1:8888/udp/239.76.252.190:9000
海南卫视,http://192.168.200.1:8888/udp/239.76.253.203:9000
广东卫视,http://192.168.200.1:8888/udp/239.76.252.189:9000
湖北卫视,http://192.168.200.1:8888/udp/239.76.253.193:9000
广西卫视,http://192.168.200.1:8888/udp/239.76.254.54:9000
山东卫视,http://192.168.200.1:8888/udp/239.76.253.195:9000
四川卫视,http://192.168.200.1:8888/udp/239.76.253.91:9000
重庆卫视,http://192.168.200.1:8888/udp/239.76.253.92:9000
云南卫视,http://192.168.200.1:8888/udp/239.76.254.60:9000
河南卫视,http://192.168.200.1:8888/udp/239.76.253.202:9000

贵州卫视,http://192.168.200.1:8888/udp/239.76.252.198:9000
河北卫视,http://192.168.200.1:8888/udp/239.76.252.199:9000
吉林卫视,http://192.168.200.1:8888/udp/239.76.253.201:9000
陕西卫视,http://192.168.200.1:8888/udp/239.76.254.76:9000
甘肃卫视,http://192.168.200.1:8888/udp/239.76.253.94:9000
青海卫视,http://192.168.200.1:8888/udp/239.76.254.132:9000
浙江卫视,http://192.168.200.1:8888/udp/239.76.246.182:1234
重庆卫视,http://192.168.200.1:8888/udp/239.76.246.92:1234
安徽卫视,http://192.168.200.1:8888/udp/239.76.245.196:1234
北京卫视,http://192.168.200.1:8888/udp/239.76.246.184:1234
东方卫视,http://192.168.200.1:8888/udp/239.76.246.186:1234
